indicador,categoria,periodo,valor,unidad,delta_vs_previo,frecuencia
PIB anual (resumen),Macro,2024,1.4600,%,-1.6600,
PIB anual,Macro,T1-26,0.2000,%,-1.5900,
PIB por actividad,Macro,T1-26,0.8800,%,-1.2600,
Inflación anual (resumen),Precios,abr-26,4.4500,%,-0.1400,
IGAE anual,Actividad,feb-26,-0.2700,%,-0.7600,
IMAI total,Actividad,mar-26,-0.6300,%,-1.0100,
Consumo privado,Actividad,feb-26,0.9300,%,-1.6200,
FBCF anual,Actividad,feb-26,-3.5800,%,-1.2000,
Exportaciones,Actividad,mar-26,23.8600,%,+7.9700,
Cíclico adelantado,Actividad,mar-26,0.0900,pts,-0.0100,
EMIM producción,Encuestas,mar-26,-1.0900,%,-4.4300,
ENEC valor,Encuestas,feb-26,0.3300,%,-0.2700,
Mayoreo ingresos,Encuestas,feb-26,-1.5100,%,-2.1900,
Menudeo personal,Encuestas,feb-26,-0.0100,%,-0.3900,
Servicios ingresos,Encuestas,feb-26,-1.8000,%,-1.9700,
Autos ligeros,Automotriz,mar-26,2.4000,%,+2.7000,
Autos pesados,Automotriz,mar-26,-18.6000,%,+20.3000,
INPC 1Q mar,Precios,Q08-26,4.3700,%,-0.1600,
INPC anual,Precios,abr-26,4.4500,%,-0.1400,
INPP sin petróleo,Precios,abr-26,1.9600,%,-0.5000,
Tasa desocupación,Empleo,T4-25,2.5000,%,-0.1000,
Participación de entidad líder,Regional,T4-25,18.1900,%,,
Conf. consumidor,Sentimiento,abr-26,0.2200,pts,+0.4600,
EMOE IPM,Sentimiento,abr-26,-0.6000,pts,-1.2100,
EMOE IAT,Sentimiento,abr-26,-1.2900,pts,-3.2100,
EMOE ICE,Sentimiento,abr-26,-0.1700,pts,+0.1900,
Desocupación (ENOE mensual),Empleo,mar-26,2.8000,%,+0.0800,
Entidad líder por participación PIB,Regional,2024,15.3200,%,,
ITAEE líder trimestral,Regional,T4-25,12.0100,%,,
IMAI estatal líder,Regional,ene-26,139.1900,%,,
Desglose por sector económico,Empleo,abr-26,22.7490, M,+0.1100,
